evaluation_year,architecture,policy,seed,accuracy,changed_accuracy,con_seats,lab_seats,lib_seats,natSW_seats,oth_seats
2010,32,fixed_0.3,101223,0.8591772151898734,0.8660714285714286,382,216,28,6,0
2010,32,fixed_0.3,101224,0.8781645569620253,0.8571428571428571,368,220,37,7,0
2010,32,fixed_0.3,101225,0.7357594936708861,0.8839285714285714,466,149,16,1,0
2010,32,fixed_0.3,101226,0.7642405063291139,0.875,446,158,22,6,0
2010,32,fixed_0.3,101227,0.884493670886076,0.7232142857142857,335,264,28,5,0
2010,32,fixed_0.3,101228,0.8322784810126582,0.8303571428571429,388,190,49,5,0
2010,32,fixed_0.3,101229,0.8781645569620253,0.8660714285714286,372,227,27,6,0
2010,32,fixed_0.3,101230,0.7974683544303798,0.875,424,177,25,6,0
2010,32,fixed_0.3,101231,0.7879746835443038,0.875,432,166,28,6,0
2010,32,fixed_0.3,101232,0.8212025316455697,0.8839285714285714,411,190,23,8,0
2010,32_16,validation_all_rates,101223,0.8924050632911392,0.7767857142857143,341,236,49,6,0
2010,32_16,validation_all_rates,101224,0.8781645569620253,0.7678571428571429,344,253,27,8,0
2010,32_16,validation_all_rates,101225,0.8180379746835443,0.875,405,203,18,6,0
2010,32_16,validation_all_rates,101226,0.8528481012658228,0.8571428571428571,378,204,38,12,0
2010,32_16,validation_all_rates,101227,0.8670886075949367,0.8482142857142857,371,223,34,4,0
2010,32_16,validation_all_rates,101228,0.8544303797468354,0.8125,367,222,39,4,0
2010,32_16,validation_all_rates,101229,0.8876582278481012,0.7678571428571429,340,238,45,9,0
2010,32_16,validation_all_rates,101230,0.7974683544303798,0.8482142857142857,417,187,22,6,0
2010,32_16,validation_all_rates,101231,0.8544303797468354,0.8214285714285714,373,209,45,5,0
2010,32_16,validation_all_rates,101232,0.8291139240506329,0.8660714285714286,398,213,20,1,0
2010,32_16,fixed_0.3,101223,0.8544303797468354,0.8482142857142857,382,212,30,8,0
2010,32_16,fixed_0.3,101224,0.8575949367088608,0.8482142857142857,379,215,34,4,0
2010,32_16,fixed_0.3,101225,0.7420886075949367,0.875,460,146,22,4,0
2010,32_16,fixed_0.3,101226,0.7753164556962026,0.8839285714285714,434,156,34,8,0
2010,32_16,fixed_0.3,101227,0.8892405063291139,0.7946428571428571,347,249,31,5,0
2010,32_16,fixed_0.3,101228,0.8417721518987342,0.8660714285714286,394,198,35,5,0
2010,32_16,fixed_0.3,101229,0.8955696202531646,0.7589285714285714,335,243,47,7,0
2010,32_16,fixed_0.3,101230,0.8164556962025317,0.875,412,195,22,3,0
2010,32_16,fixed_0.3,101231,0.8354430379746836,0.8214285714285714,388,194,45,5,0
2010,32_16,fixed_0.3,101232,0.8591772151898734,0.8214285714285714,373,210,45,4,0
2010,64_32,validation_all_rates,101223,0.8860759493670886,0.8214285714285714,355,227,42,8,0
2010,64_32,validation_all_rates,101224,0.8639240506329114,0.8214285714285714,366,230,29,7,0
2010,64_32,validation_all_rates,101225,0.8607594936708861,0.8571428571428571,376,228,19,9,0
2010,64_32,validation_all_rates,101226,0.8243670886075949,0.8839285714285714,405,187,28,12,0
2010,64_32,validation_all_rates,101227,0.9003164556962026,0.8303571428571429,348,242,37,5,0
2010,64_32,validation_all_rates,101228,0.8924050632911392,0.7857142857142857,338,240,50,4,0
2010,64_32,validation_all_rates,101229,0.8924050632911392,0.7678571428571429,331,252,42,7,0
2010,64_32,validation_all_rates,101230,0.8481012658227848,0.7589285714285714,362,195,66,9,0
2010,64_32,validation_all_rates,101231,0.8734177215189873,0.6071428571428571,314,289,24,5,0
2010,64_32,validation_all_rates,101232,0.9050632911392406,0.7410714285714286,326,244,54,8,0
2010,64_32,fixed_0.3,101223,0.8924050632911392,0.7946428571428571,342,248,41,1,0
2010,64_32,fixed_0.3,101224,0.8117088607594937,0.8660714285714286,413,180,34,5,0
2010,64_32,fixed_0.3,101225,0.7911392405063291,0.875,430,171,25,6,0
2010,64_32,fixed_0.3,101226,0.8354430379746836,0.875,401,201,24,6,0
2010,64_32,fixed_0.3,101227,0.8765822784810127,0.8660714285714286,374,225,27,6,0
2010,64_32,fixed_0.3,101228,0.8892405063291139,0.7678571428571429,339,236,51,6,0
2010,64_32,fixed_0.3,101229,0.8765822784810127,0.7410714285714286,341,262,23,6,0
2010,64_32,fixed_0.3,101230,0.8433544303797469,0.8214285714285714,383,197,46,6,0
2010,64_32,fixed_0.3,101231,0.805379746835443,0.8214285714285714,408,173,46,5,0
2010,64_32,fixed_0.3,101232,0.8734177215189873,0.8392857142857143,368,217,40,7,0
2015,16,validation_all_rates,101223,0.7468354430379747,0.13761467889908258,242,341,48,1,0
2015,16,validation_all_rates,101224,0.754746835443038,0.14678899082568808,244,336,46,6,0
2015,16,validation_all_rates,101225,0.805379746835443,0.06422018348623854,286,286,54,6,0
2015,16,validation_all_rates,101226,0.754746835443038,0.13761467889908258,239,333,51,9,0
2015,16,validation_all_rates,101227,0.7531645569620253,0.11009174311926606,244,323,59,6,0
2015,16,validation_all_rates,101228,0.7895569620253164,0.1743119266055046,258,317,46,11,0
2015,16,validation_all_rates,101229,0.7563291139240507,0.1651376146788991,241,342,44,5,0
2015,16,validation_all_rates,101230,0.8212025316455697,0.03669724770642202,299,269,55,9,0
2015,16,validation_all_rates,101231,0.7911392405063291,0.2018348623853211,257,320,43,11,1
2015,16,validation_all_rates,101232,0.8006329113924051,0.06422018348623854,282,290,53,7,0
2015,16,fixed_0.3,101223,0.759493670886076,0.12844036697247707,247,332,48,5,0
2015,16,fixed_0.3,101224,0.7674050632911392,0.1834862385321101,250,333,43,6,0
2015,16,fixed_0.3,101225,0.8085443037974683,0.09174311926605505,281,289,53,9,0
2015,16,fixed_0.3,101226,0.7199367088607594,0.14678899082568808,218,353,56,5,0
2015,16,fixed_0.3,101227,0.745253164556962,0.11926605504587157,236,335,55,6,0
