evaluation_year,architecture,policy,previous_party,actual_party,seats,correctly_predicted,accuracy,predicted_previous_party
2015,16,validation_all_rates,lab,con,8,0,0.0,8
2015,16,validation_all_rates,lab,lab,209,209,1.0,209
2015,16,validation_all_rates,lab,natSW,40,0,0.0,40
2015,16,validation_all_rates,lab,oth,1,0,0.0,1
2015,16,validation_all_rates,lib,con,27,0,0.0,27
2015,16,validation_all_rates,lib,lab,12,6,0.5,6
2015,16,validation_all_rates,lib,lib,8,8,1.0,8
2015,16,validation_all_rates,lib,natSW,10,0,0.0,9
2015,16,validation_all_rates,natSW,natSW,9,7,0.7777777777777778,7
2015,16,validation_all_rates,oth,oth,2,0,0.0,0
2015,16,fixed_0.3,con,con,295,249,0.8440677966101695,249
2015,16,fixed_0.3,con,lab,10,9,0.9,1
2015,16,fixed_0.3,con,oth,1,0,0.0,1
2015,16,fixed_0.3,lab,con,8,0,0.0,8
2015,16,fixed_0.3,lab,lab,209,209,1.0,209
2015,16,fixed_0.3,lab,natSW,40,0,0.0,40
2015,16,fixed_0.3,lab,oth,1,0,0.0,1
2015,16,fixed_0.3,lib,con,27,1,0.037037037037037035,26
2015,16,fixed_0.3,lib,lab,12,6,0.5,6
2015,16,fixed_0.3,lib,lib,8,8,1.0,8
2015,16,fixed_0.3,lib,natSW,10,0,0.0,9
2015,16,fixed_0.3,natSW,natSW,9,8,0.8888888888888888,8
2015,16,fixed_0.3,oth,oth,2,0,0.0,0
2015,32,validation_all_rates,con,con,295,244,0.8271186440677966,244
2015,32,validation_all_rates,con,lab,10,9,0.9,1
2015,32,validation_all_rates,con,oth,1,0,0.0,1
2015,32,validation_all_rates,lab,con,8,0,0.0,8
2015,32,validation_all_rates,lab,lab,209,209,1.0,209
2015,32,validation_all_rates,lab,natSW,40,0,0.0,40
2015,32,validation_all_rates,lab,oth,1,0,0.0,1
2015,32,validation_all_rates,lib,con,27,0,0.0,27
2015,32,validation_all_rates,lib,lab,12,6,0.5,6
2015,32,validation_all_rates,lib,lib,8,8,1.0,8
2015,32,validation_all_rates,lib,natSW,10,0,0.0,8
2015,32,validation_all_rates,natSW,natSW,9,5,0.5555555555555556,5
2015,32,validation_all_rates,oth,oth,2,0,0.0,0
2015,32,fixed_0.3,con,con,295,244,0.8271186440677966,244
2015,32,fixed_0.3,con,lab,10,9,0.9,1
