patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
20,8,28,0.29527658224105835,False,1157,1.9837665390000438,screening,2005,2010,32,0.5,101225,0.8971518987341772,0.5803571428571429,112,0.29527652619490335,0.1586049921616312,632,0
50,8,58,0.29527658224105835,False,1157,4.109439097000177,screening,2005,2010,32,0.5,101225,0.8971518987341772,0.5803571428571429,112,0.29527652619490335,0.1586049921616312,632,0
10,1,11,0.3000010848045349,False,1157,0.794267396000123,screening,2005,2010,32,1.0,101223,0.8908227848101266,0.5982142857142857,112,0.300001106697036,0.16050649376630358,632,0
20,1,21,0.3000010848045349,False,1157,1.4569727359998978,screening,2005,2010,32,1.0,101223,0.8908227848101266,0.5982142857142857,112,0.300001106697036,0.16050649376630358,632,0
50,1,51,0.3000010848045349,False,1157,3.573135016999913,screening,2005,2010,32,1.0,101223,0.8908227848101266,0.5982142857142857,112,0.300001106697036,0.16050649376630358,632,0
10,4,14,0.30935439467430115,False,1157,1.0374131690000468,screening,2005,2010,32,1.0,101224,0.879746835443038,0.4732142857142857,112,0.30935441407351677,0.171223245204966,632,0
20,4,24,0.30935439467430115,False,1157,1.7689314549998016,screening,2005,2010,32,1.0,101224,0.879746835443038,0.4732142857142857,112,0.30935441407351677,0.171223245204966,632,0
50,4,54,0.30935439467430115,False,1157,3.9432578249998187,screening,2005,2010,32,1.0,101224,0.879746835443038,0.4732142857142857,112,0.30935441407351677,0.171223245204966,632,0
10,1,11,0.2841743528842926,False,1157,0.8321400899999389,screening,2005,2010,32,1.0,101225,0.9018987341772152,0.7321428571428571,112,0.28417437705974574,0.15038582544076476,632,0
20,1,21,0.2841743528842926,False,1157,1.5157883450001464,screening,2005,2010,32,1.0,101225,0.9018987341772152,0.7321428571428571,112,0.28417437705974574,0.15038582544076476,632,0
50,1,51,0.2841743528842926,False,1157,3.6829315680001855,screening,2005,2010,32,1.0,101225,0.9018987341772152,0.7321428571428571,112,0.28417437705974574,0.15038582544076476,632,0
10,81,91,0.2947772145271301,False,1605,8.833100801,screening,2005,2010,32_16,0.01,101223,0.8939873417721519,0.75,112,0.2947772551818894,0.15429709032433764,632,0
20,143,163,0.28953734040260315,False,1605,14.528240841999832,screening,2005,2010,32_16,0.01,101223,0.8908227848101266,0.7321428571428571,112,0.28953733375254537,0.15202169440426913,632,0
50,143,193,0.28953734040260315,False,1605,17.24511444999962,screening,2005,2010,32_16,0.01,101223,0.8908227848101266,0.7321428571428571,112,0.28953733375254537,0.15202169440426913,632,0
10,122,132,0.27027055621147156,False,1605,10.310688452999784,screening,2005,2010,32_16,0.01,101224,0.8939873417721519,0.6785714285714286,112,0.2702705647213184,0.13978181761884284,632,0
20,150,170,0.26833146810531616,False,1605,13.235783395999988,screening,2005,2010,32_16,0.01,101224,0.8987341772151899,0.6339285714285714,112,0.2683315046919576,0.13981933234011426,632,0
50,150,200,0.26833146810531616,False,1605,15.627194893999786,screening,2005,2010,32_16,0.01,101224,0.8987341772151899,0.6339285714285714,112,0.2683315046919576,0.13981933234011426,632,0
10,96,106,0.2822892665863037,False,1605,8.362315859999853,screening,2005,2010,32_16,0.01,101225,0.9003164556962026,0.7410714285714286,112,0.2822892292567757,0.14870393203623058,632,0
20,130,150,0.2797090411186218,False,1605,12.170899283999915,screening,2005,2010,32_16,0.01,101225,0.9018987341772152,0.6964285714285714,112,0.2797090192354147,0.14713475476171453,632,0
50,130,180,0.2797090411186218,False,1605,14.51621067799988,screening,2005,2010,32_16,0.01,101225,0.9018987341772152,0.6964285714285714,112,0.2797090192354147,0.14713475476171453,632,0
10,29,39,0.2904815375804901,False,1605,3.2215303869998024,screening,2005,2010,32_16,0.03,101223,0.8987341772151899,0.7589285714285714,112,0.2904815414881832,0.15217401422366,632,0
20,53,73,0.28260335326194763,False,1605,5.762939604999701,screening,2005,2010,32_16,0.03,101223,0.8955696202531646,0.6785714285714286,112,0.28260335351649496,0.14885771139014534,632,0
50,53,103,0.28260335326194763,False,1605,8.124551522999809,screening,2005,2010,32_16,0.03,101223,0.8955696202531646,0.6785714285714286,112,0.28260335351649496,0.14885771139014534,632,0
10,56,66,0.26748260855674744,False,1605,5.093852690999938,screening,2005,2010,32_16,0.03,101224,0.8987341772151899,0.6160714285714286,112,0.2674826238700578,0.1399379603595395,632,0
20,56,76,0.26748260855674744,False,1605,5.874939999000162,screening,2005,2010,32_16,0.03,101224,0.8987341772151899,0.6160714285714286,112,0.2674826238700578,0.1399379603595395,632,0
