stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
confirmation,2005,2010,2015,32_16,0.3,20,10,0.9098101265822784,0.6785714285714286,112,0.26536540987742163,0.1372650100054968,632,0,0.7879746835443038,0.12844036697247707,109,0.7897196610487903,0.33293839262624386,632,0,validation_all_rates
confirmation,2005,2010,2015,32_16,0.3,20,10,0.9098101265822784,0.6785714285714286,112,0.26536540987742163,0.1372650100054968,632,0,0.7879746835443038,0.12844036697247707,109,0.7897196610487903,0.33293839262624386,632,0,validation_midrange
confirmation,2005,2010,2015,32_16,0.3,20,10,0.9098101265822784,0.6785714285714286,112,0.26536540987742163,0.1372650100054968,632,0,0.7879746835443038,0.12844036697247707,109,0.7897196610487903,0.33293839262624386,632,0,validation_compact
confirmation,2005,2010,2015,32_16,0.01,20,10,0.8987341772151899,0.7053571428571429,112,0.2735931895943349,0.14204748368212355,632,0,0.7863924050632911,0.11926605504587157,109,0.7199167423228254,0.3290187514329949,632,0,fixed_0.01
confirmation,2005,2010,2015,32_16,0.03,20,10,0.9034810126582279,0.6875,112,0.2721035154217452,0.14176926606779475,632,0,0.7943037974683544,0.12844036697247707,109,0.7140645822043088,0.3224599512348856,632,0,fixed_0.03
confirmation,2005,2010,2015,32_16,0.05,20,10,0.9082278481012658,0.7053571428571429,112,0.27060999644028516,0.14079106303939384,632,0,0.7832278481012658,0.11009174311926606,109,0.731068364706501,0.3338121885025578,632,0,fixed_0.05
confirmation,2005,2010,2015,32_16,0.1,20,10,0.8987341772151899,0.6696428571428571,112,0.2683567336135313,0.14012174706425629,632,0,0.7974683544303798,0.1559633027522936,109,0.7179002008063523,0.3205772951382592,632,0,fixed_0.1
confirmation,2005,2010,2015,32_16,0.2,20,10,0.9050632911392406,0.6696428571428571,112,0.2683675888123633,0.13892815263634148,632,0,0.7974683544303798,0.12844036697247707,109,0.7362208885091512,0.3231355278520269,632,0,fixed_0.2
confirmation,2005,2010,2015,32_16,0.3,20,10,0.9098101265822784,0.6785714285714286,112,0.26536540987742163,0.1372650100054968,632,0,0.7879746835443038,0.12844036697247707,109,0.7897196610487903,0.33293839262624386,632,0,fixed_0.3
confirmation,2005,2010,2015,32_16,0.5,20,10,0.9066455696202531,0.6160714285714286,112,0.2665874946160025,0.13895943488828544,632,0,0.7895569620253164,0.12844036697247707,109,0.8188880696818631,0.3320842056733683,632,0,fixed_0.5
confirmation,2005,2010,2015,32_16,1.0,20,10,0.9050632911392406,0.6785714285714286,112,0.2699576790511976,0.1398903167305011,632,0,0.7879746835443038,0.14678899082568808,109,0.942143220145645,0.3376843357306217,632,0,fixed_1
