constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
Penistone and Stocksbridge,Yorkshire and The Humber,2024,0.43600591379506426,lab,E14001423,2023-current,actual,0.2372341635391789,0.43600591379506426,0.06518821790060275,0.0,2019_notional
Penrith and Solway,North West,2024,0.40555183539295064,lab,E14001424,2023-current,actual,0.2988778636797143,0.40555183539295064,0.09622369675940018,0.0,2019_notional
Perth and Kinross-shire,Scotland,2024,0.37797791401242087,natSW,S14000103,2023-current,actual,0.2955648301615512,0.18008267268406652,0.07350679952872577,0.37797791401242087,2019_notional
Peterborough,East of England,2024,0.32045280855941916,lab,E14001425,2023-current,actual,0.31763469621704243,0.32045280855941916,0.041698509743981656,0.0,2019_notional
Plymouth Moor View,South West,2024,0.41219432518200483,lab,E14001426,2023-current,actual,0.28143083815568415,0.41219432518200483,0.04120776554041441,0.0,2019_notional
Plymouth Sutton and Devonport,South West,2024,0.49400166290533315,lab,E14001427,2023-current,actual,0.16327354792730728,0.49400166290533315,0.0579878845468583,0.0,2019_notional
"Pontefract, Castleford and Knottingley",Yorkshire and The Humber,2024,0.4752621186417109,lab,E14001428,2023-current,actual,0.15034624690602663,0.4752621186417109,0.03373473871568818,0.0,2019_notional
Pontypridd,Wales,2024,0.4120320991416527,lab,W07000106,2023-current,actual,0.09586571181878206,0.4120320991416527,0.04078419422012291,0.13395804764081468,2019_notional
Poole,South West,2024,0.3184177997527812,lab,E14001429,2023-current,actual,0.3180132599168446,0.3184177997527812,0.12376671536127655,0.0,2019_notional
Poplar and Limehouse,London,2024,0.43053587605398247,lab,E14001430,2023-current,actual,0.11005551555132286,0.43053587605398247,0.09730319853197371,0.0,2019_notional
Portsmouth North,South East,2024,0.348496141177602,lab,E14001431,2023-current,actual,0.3297429855985382,0.348496141177602,0.07287283917966966,0.0,2019_notional
Portsmouth South,South East,2024,0.4844071105630908,lab,E14001432,2023-current,actual,0.14495992601726265,0.4844071105630908,0.12551376900945335,0.0,2019_notional
Preston,North West,2024,0.35021128697522064,lab,E14001433,2023-current,actual,0.13032280649113595,0.35021128697522064,0.07988898057160003,0.0,2019_notional
Putney,London,2024,0.48915711532609796,lab,E14001434,2023-current,actual,0.23582513439496908,0.48915711532609796,0.12055989451262805,0.0,2019_notional
Queen's Park and Maida Vale,London,2024,0.5248937224525989,lab,E14001435,2023-current,actual,0.1326969720679133,0.5248937224525989,0.08911665753853376,0.0,2019_notional
Rawmarsh and Conisbrough,Yorkshire and The Humber,2024,0.48997168475696085,lab,E14001436,2023-current,actual,0.13260972156677678,0.48997168475696085,0.03353586597451628,0.0,2019_notional
Rayleigh and Wickford,East of England,2024,0.3700862895493768,con,E14001437,2023-current,actual,0.3700862895493768,0.246425444995623,0.08478886156154904,0.0,2019_notional
Reading Central,South East,2024,0.4768717846812833,lab,E14001438,2023-current,actual,0.19785387825395773,0.4768717846812833,0.08750082797906869,0.0,2019_notional
Reading West and Mid Berkshire,South East,2024,0.3495735859594853,lab,E14001439,2023-current,actual,0.32033683486928316,0.3495735859594853,0.10962170522652574,0.0,2019_notional
Redcar,North East,2024,0.40992959773875265,lab,E14001440,2023-current,actual,0.3229605590305949,0.40992959773875265,0.040356983956659424,0.0,2019_notional
Redditch,West Midlands,2024,0.3494985250737463,lab,E14001441,2023-current,actual,0.33087905604719764,0.3494985250737463,0.051091445427728616,0.0,2019_notional
Reigate,South East,2024,0.35405654521171537,con,E14001442,2023-current,actual,0.35405654521171537,0.2941065818927409,0.12740542879178346,0.0,2019_notional
Rhondda and Ogmore,Wales,2024,0.4780763000614422,lab,W07000107,2023-current,actual,0.0572529743618388,0.4780763000614422,0.026112941965033793,0.145171200357482,2019_notional
Ribble Valley,North West,2024,0.3494031486073467,lab,E14001443,2023-current,actual,0.33294888799184974,0.3494031486073467,0.09613055763796782,0.0,2019_notional
Richmond and Northallerton,Yorkshire and The Humber,2024,0.47518855871079424,con,E14001444,2023-current,actual,0.47518855871079424,0.22408605695915593,0.08906565552487326,0.0,2019_notional
Richmond Park,London,2024,0.5464610669476104,lib,E14001445,2023-current,actual,0.21785269610190594,0.09669571880088114,0.5464610669476104,0.0,2019_notional
Rochdale,North West,2024,0.32823523483168715,lab,E14001446,2023-current,actual,0.1076647853255392,0.32823523483168715,0.07095343680709534,0.0,2019_notional
